C(ours，智能调整投资额),C（保守派，I小范围波动）,C（激进派，每次投资额为最高无风险投资额的1.2倍）,C（失去理智派，每次投资额恒定为5）
1,1,1,1
3.458618361047529,4.05398,2.367133,0.7500000000000001
5.517147716709324,6.679054223786771,2.4326375206324604,0.38873922729846416
7.808254077534749,9.511585057,2.859917022,0.040258477865705355
10.119608050194588,12.337443630137898,2.9164762888818143,-0.310694079
12.451200845723426,15.156664690399676,3.0355220187760215,-0.663396886
14.803022391063921,17.969282879291193,3.0659174243908853,-1.023851233
17.17506135280224,20.775332725157366,3.1096157957769393,-1.391594033
19.567305160643983,23.57484863791407,3.131947835870941,-1.770442096
21.979740030627912,26.36786490346563,3.157157016588494,-2.160679849
24.412350988075033,29.154415678173784,3.1771223379794624,-2.569906038
26.865121890271073,31.934534983383912,3.1976814441705628,-3.00014994
29.33803544888058,34.70825670001437,3.216895267799822,-3.459978292
31.83107325209126,37.47561456321457,3.2361873685822204,-3.950112239
34.344215786487425,40.23664215709752,3.2550857789298835,-4.48031723
36.87744245865164,42.991372909552275,3.2739418473124995,-5.05367758
39.43073161649405,45.73984008714186,3.2926383511381556,-5.679920269
42.00406057030894,48.48207679009198,3.311262914537687,-6.373444022
44.59740561355845,51.218115947375836,3.3297857268578497,-7.137892916
47.21074204338352,53.94799031190014,3.3482287671953785,-8.000797114
49.84404418084226,56.67173246,3.366584190420187,-8.967115855
52.49728539087637,59.389374765830034,3.3848574616400073,-10.06129556
55.17043810200611,62.10094943890903,3.403046380737836,-11.29750961
57.86347383,64.80648847773548,3.421152232249374,-12.71870399
60.57636317580317,67.50602368656587,3.4391743153713072,-14.34421991
63.309075886876656,70.19958666710777,3.4571128659699757,-16.14561982
66.06158083336351,72.88720881454961,3.4749676093131794,-17.92349579
68.83384604766856,75.56892131372855,3.4927385360499597,-19.69574881
71.62583873830205,78.24475513544068,3.5104255135806763,-21.44765879
74.43752530770587,80.91474103289727,3.5280284946241243,-23.19064172
77.26887136981871,83.57890954,3.545547411121454,-24.93398455
80.11984176738217,86.23729096,3.562982230757967,-26.66763427
82.99040058898947,88.88991537787786,3.580332927327022,-28.39528559
85.88051118587897,91.53681264318364,3.5975994959776916,-30.09749292
88.79013619,94.17801237316583,3.6147819445647875,-31.78972882
91.71923752267409,96.81354394973486,3.631880297557652,-33.47332801
94.66777643,99.44343651679078,3.6488945932401875,-35.13951738
97.63571346284748,102.0677189779675,3.6658248844769794,-36.79342851
100.62300854112256,104.68641999455045,3.6826712375780057,-38.44476092
103.62962092646141,107.29956798356967,3.6994337321949584,-40.07939682
106.6555092578422,109.90719111607046,3.7161124606777287,-41.71410554
109.70063156230702,112.50931731556314,3.732707527738808,-43.33254711
112.7649452695581,115.10597425665374,3.749219049968154,-44.95024261
115.84840722632171,117.69718936385695,3.7656471554464663,-46.554213
118.95097371048273,120.28298981059241,3.7819919833219635,-48.13799841
122.07260044499198,122.8634025183655,3.7982536834239395,-49.72460131
125.21324261154923,125.43845415613342,3.814432416,-51.30023886
128.3728548640644,128.0081711398571,3.8305283507078163,-52.85484629
131.5513913418994,130.5725796322395,3.846541667521938,-54.39660669
134.74880568289348,133.13170554265037,3.8624725551073182,-55.93853194
137.9650510361746,135.68557452723772,3.878321211110425,-57.45594404
141.20008007475943,138.23421198922554,3.894087841696891,-58.96481326
144.45384500794464,140.77764307939762,3.9097726612252894,-60.45839163
147.72629759349218,143.31589269676692,3.925375891930191,-61.96311234
151.0173891496112,145.84898548942957,3.940897763613908,-63.45462101
154.3270705667391,148.3769458556026,3.9563385133469433,-64.93740606
157.65529231912447,150.8997979448444,3.9716983851767935,-66.41251683
161.00200447621455,153.41756565945636,3.9869776298449935,-67.86888283
164.36715671384985,155.93027265606403,4.002176505,-69.31862427
167.75069832526836,158.43794234737658,4.017295272490788,-70.74649389
171.1525782319222,160.94059790412197,4.032334202985828,-72.16394494
174.5727449941092,163.4382622571561,4.047293570842466,-73.58774658
178.0111468214218,165.93095809974363,4.062173656301335,-74.99632331
181.4677315830161,168.41870789000762,4.076974744760686,-76.39818168
184.94244681770363,170.90153385354577,4.091697126545494,-77.7965237
188.43523974386787,173.37945798620996,4.106341096683252,-79.18168088
191.94605726920878,175.85250205704625,4.120906954686308,-80.55511979
195.4748460003171,178.32068761139217,4.135395004340587,-81.91946787
199.02155225208145,180.7840359741276,4.149805553500514,-83.26687932
202.58612205693044,183.2425682530758,4.164138913889989,-84.59676035
206.16850117391195,185.69630534255106,4.178395400909261,-85.92987237
209.7686350976127,188.14526792704854,4.192575333447544,-87.24704691
213.38646906691972,190.58947648507268,4.206679033701224,-88.5611624
217.02194807362648,193.02895129309965,4.220706827,-89.88017622
220.6750168708861,195.46371242966947,4.2346590416234005,-91.17087123
224.34561998151375,197.89377977960334,4.248536008659801,-92.44708914
228.03370170614045,200.31917303834135,4.262338061820682,-93.72148586
231.73920613122084,202.73991171639585,4.2760655372971215,-94.98745157
235.46207713689702,205.1560151439153,4.289718773606133,-96.25648722
239.20225840472054,207.56750247535368,4.303298111444105,-97.51347653
242.95969342523486,209.97439269423995,4.316803893544787,-98.76921408
246.73432550542063,212.37670461804254,4.3302364645416365,-100.0125043
250.52609777600543,214.77445690312302,4.343596170834482,-101.2387812
254.33495319864073,217.16766804977357,4.3568833604603086,-102.4699851
258.1608345729475,219.55635640733243,4.370098382968125,-103.6712671
262.0036845434333,221.9405401793715,4.3832415892977465,-104.8592303
265.86344560628174,224.3202374289504,4.3963133316624265,-106.0409676
269.74006011601796,226.69546608393057,4.409313963435215,-107.2356038
273.63347029205045,229.06624394234376,4.422243839,-108.4131231
277.5436182250922,231.4325886778086,4.435103313839711,-109.5721092
281.47044588346284,233.79451784498892,4.4478927440438785,-110.7344326
285.4138951192738,236.15204888508762,4.460612486598299,-111.8765512
289.3739076744978,238.50519913136998,4.473262899093871,-113.0292641
293.35042518692563,240.85398581470957,4.485844339672219,-114.1651933
297.34338919601095,243.19842606915086,4.498357166935442,-115.290756
301.35274114860533,245.5385369374815,4.510801739858847,-116.4054661
305.3784224045858,247.87433537680855,4.523178418,-117.5237277
309.42037424237583,250.20583826413133,4.535487559950168,-118.6245389
313.4785379,252.53306240190517,4.547729526189537,-119.7076491
317.5528544,254.85602452358899,4.559904676077066,-120.7838906
321.64326492206766,257.1747412991705,4.572013369243949,-121.8825136
325.7497104296982,259.4892293406625,4.5840559652291955,-122.9714786
329.8721318754765,261.79950520756415,4.596032823411049,-124.0451739
334.01047015931834,264.1055854122797,4.607944302940789,-125.0953898
338.1646661355039,266.4074864,4.6197907626788535,-126.1635644
342.3346606174099,268.70522468146896,4.631572561,-127.2171711
346.52039438215024,270.99881658333965,4.643290056399804,-128.2609245
350.7218082,273.2882785082631,4.654943606105421,-129.2872354
354.93884271449303,275.57362681255455,4.666533567352216,-130.2994174
359.1714386955272,277.85487783672016,4.6780602966645315,-131.2975017
363.41953679492474,280.13204791040897,4.689524149937554,-132.3182498
367.6830776750033,282.4051533572739,4.700925482387872,-133.3148288
371.9620019878261,284.67421049973586,4.712264648505872,-134.2944431
376.2562503792444,286.9392356636462,4.723542002009911,-135.2705841
380.5657634928595,289.2002451828404,4.7347578958022325,-136.2497751
384.8904819739067,291.4572554035795,4.745912681926539,-137.2063259
389.23034647306156,293.7102826888725,4.7570067115272305,-138.1816502
393.58529765017084,295.9593434226754,4.768040334810193,-139.1460435
397.9552761779083,298.20445401396154,4.779013901005156,-140.1017942
402.34022274535727,300.4456309,4.789927758329522,-141.0392989
406.7400780615214,302.68289055344957,4.800782253953657,-141.9772925
411.15478285876395,304.9162494794254,4.811577733967588,-142.9065537
415.5842778961779,307.1457242255993,4.822314543349061,-143.8313775
420.0285039628874,309.3713313822635,4.8329930259329466,-144.7269868
424.4874018812816,311.5930875861945,4.843613524381895,-145.6286656
428.96091251018277,313.8110095236985,4.854176380158285,-146.5085866
433.4489767479489,316.0251139334955,4.864681933497349,-147.399546
437.95153553551273,318.23541760943783,4.875130523381499,-148.2771068
442.46852985935755,320.44193740306014,4.885522487515783,-149.14041
446.9999007544314,322.64469022595813,4.895858162304447,-149.9952334
451.5455893070006,324.84369305199317,4.906137882828583,-150.8627765
456.1055366574437,327.0389629193205,4.9163619828248075,-151.7067555
460.67968400298605,329.2305169322387,4.926530794664963,-152.5746295
465.26797260037785,331.41837226285804,4.936644649336784,-153.421913
469.8703437685145,333.6025462,4.946703876425535,-154.2530359
474.48673889100183,335.78305591343417,4.956708804096553,-155.0875647
479.11709941866656,337.9599189291248,4.966659759078692,-155.8922156
483.76136687201256,340.13315265603114,4.976557066648636,-156.7288829
488.4194828436249,342.30277462391547,4.986401050616048,-157.5394391
493.0913890005213,344.4688024,4.996192033309541,-158.3560201
497.77702708645296,346.63125377175885,5.005930335563428,-159.1370993
502.47633892415496,348.79014638224635,5.0156162767052495,-159.9286164
507.1892664175476,350.94549809493753,5.025250174544038,-160.7139629
511.91575155388915,353.09732681110546,5.034832345359292,-161.5117809
516.6557364058808,355.24565050592156,5.044363103890669,-162.2879599
521.4091631337252,357.3904872278843,5.053842763328325,-163.0537575
526.1759739871388,359.53185509806286,5.063271635303938,-163.804594
