t,I,Pop,W,H,C,D,L,r,S,lambda,Pi,I_cap,binding,disc_flow
0.0,0.7671453347828219,0.0,0.5,1.0,1.0,0.0,0.16,0.0316437362913357,0.5177225522955372,5.380561738839142,1.0671453348094833,0.7671453348094832,True,0.3000000000266614
0.0273972602739726,0.783282494450013,0.0023764367724071153,0.5018579200156292,1.0,2.115145334819683,0.048,0.0,0.0296332706385123,0.5176918528635912,5.36623995764506,1.0832824944908368,0.7832824944908368,True,0.2991792071197699
0.0547945205479452,0.8017566276508378,0.004772048649484264,0.5037010825460435,1.0,3.1504278293262646,0.0,0.0,0.0321515875194682,0.5176605138616801,5.3519494608817455,1.101756627708517,0.8017566277085166,True,0.2983606598855429
0.0821917808219178,0.819257731685191,0.007190911029201206,0.5055298825746125,1.0,4.252184457057232,0.0,0.0,0.0311842081743561,0.5176284422013102,5.337690225548606,1.1192577317628154,0.8192577317628154,True,0.2975443521802527
0.1095890410958904,0.8368803173077447,0.009630490095588163,0.5073442049851068,1.0,5.371442188850524,0.0,0.0,0.0275650640873258,0.5175956772444058,5.323462229175109,1.136880317408532,0.836880317408532,True,0.2967302778767102
0.136986301369863,0.8546215712198062,0.012090447250084643,0.5091441056560753,1.0,6.508322506298971,0.0,0.0,0.0328537341098205,0.5175622145703833,5.309265448889432,1.1546215713471502,0.8546215713471501,True,0.2959184308645375
0.1643835616438356,0.8724786830770752,0.014570442962503207,0.5109296413996778,1.0,7.662944077696997,0.0,0.0,0.0315668382119421,0.5175280498843777,5.295099861416412,1.1724786832345346,0.8724786832345346,True,0.2951088050500622
0.1917808219178082,0.8904488474606762,0.01707013701463381,0.5127008699620524,1.0,8.83542276099499,0.0,0.0,0.0317163858316617,0.5174931790171957,5.280965443075531,1.190448847651961,0.890448847651961,True,0.294301394356269
0.2191780821917808,0.908529265754088,0.019589188733366035,0.514457850021021,1.0,10.02587160872472,0.0,0.0,0.0277686817960532,0.5174575979251834,5.266862169778923,1.2085292659830462,0.9085292659830462,True,0.2934961927227554
0.2465753424657534,0.926717147927726,0.022127257213518086,0.5162006411813049,1.0,11.234400874801672,0.0,0.0,0.0297023156273734,0.5174213026900124,5.25279001702944,1.2267171481983294,0.9267171481983294,True,0.2926931941056853
0.273972602739726,0.9450097142330736,0.024684001530578457,0.5179293039674244,1.0,12.461118023111968,0.0,0.0,0.0292247881453954,0.5173842895183882,5.238748959918772,1.2450097145494037,0.9450097145494034,True,0.2918923924777429
0.3013698630136986,0.9634041968083829,0.027259080943578665,0.5196438998144434,1.0,13.70612773779342,0.0,0.0,0.0325605899330916,0.5173465547416831,5.22473897312564,1.2634041971746153,0.9634041971746152,True,0.2910937818280886
0.3287671232876712,0.9818978411980662,0.029852155088327767,0.5213444910567244,1.0,14.969531935122273,0.0,0.0,0.0308631907204839,0.5173080948154993,5.2107600309140665,1.281897841618456,0.981897841618456,True,0.2902973561623119
0.3561643835616438,1.0004805155855083,0.032462884161248755,0.5230311409148468,1.0,16.251429776919345,0.0,0.0,0.0319365696796249,0.5172689063191647,5.196812107131741,1.300480515973822,1.000480515973822,True,0.2895031094150035
0.3835616438356164,1.018881526350715,0.03509091651528088,0.5247039126748239,1.0,17.55191029307594,0.0,0.0,0.0296604851929639,0.5172289862500772,5.182895175212754,1.3188815267807186,1.0188815267807183,True,0.2887110357791296
0.410958904109589,1.037369741697825,0.037735451546378695,0.5263628421385947,1.0,18.870791820060777,0.0,0.0,0.0283634323307086,0.5171883424159796,5.169009208325987,1.337369742175097,1.037369742175097,True,0.2879211292432769
0.4383561643835616,1.0559425884714888,0.040396160109098474,0.5280079966319213,1.0,20.20816156246435,0.0,0.0,0.030327508722095,0.5171469719058417,5.1551541792111335,1.3559425889989218,1.0559425889989218,True,0.2871333838757113
0.4657534246575342,1.074597512601957,0.04307271430285228,0.5296394442548862,1.0,21.56410415171791,0.0,0.0,0.027382903536625,0.5171048719247082,5.141330060177772,1.3745975131825323,1.0745975131825325,True,0.2863477937635976
0.4931506849315068,1.0933319800662011,0.04576478760259797,0.5312572538617992,1.0,22.938701665183125,0.0,0.0,0.0319657870319554,0.5170620397929333,5.127536823104554,1.3933319807027806,1.0933319807027806,True,0.285564353010078
0.5205479452054794,1.1121434777829815,0.04847205498224904,0.5328614950401885,1.0,24.3320336461985,0.0,0.0,0.0307899863947323,0.5170184729453697,5.113774439438521,1.4121434784784117,1.1121434784784117,True,0.2847830557345297
0.547945205479452,1.131029514446797,0.051194193031037956,0.5344522380889809,1.0,25.74417712502132,0.0,0.0,0.0315485264405122,0.5169741689305174,5.100042880194539,1.431029515203899,1.131029515203899,True,0.2840038960724093
0.5753424657534246,1.1499876213025193,0.05393088006307842,0.5360295539959743,1.0,27.175206640603378,0.0,0.0,0.0291271558087792,0.516929125409632,5.086342115954862,1.4499876221240922,1.149987622124092,True,0.2832268681752215
0.6027397260273972,1.169015352862977,0.056681796220368355,0.5375935144146957,1.0,28.625194263141346,0.0,0.0,0.0328241881463694,0.5168833401557977,5.07267211686883,1.469015353751813,1.1690153537518129,True,0.2824519662104873
0.6301369863013698,1.188110287571727,0.0594466235694731,0.5391441916407362,1.0,30.09420961734475,0.0,0.0,0.0323587267279331,0.516836811052966,5.05903285265269,1.488110288530546,1.188110288530546,True,0.2816791843616236
0.6575342465753424,1.207270028412944,0.06222504619212499,0.5406816585876475,1.0,31.58231990636662,0.0,0.0,0.0316703009824425,0.5167895360949609,5.045424292589548,1.5072700294444137,1.2072700294444134,False,0.2809085168279817
0.684931506849315,1.2264922034707353,0.0650167502699712,0.5422059887624788,1.0,33.08958993634412,0.0,0.0,0.0281678322471118,0.5167415133844568,5.031846405529458,1.526492204577466,1.226492204577466,False,0.2801399578247781
0.7123287671232876,1.245774466439848,0.06782142416369837,0.5437172562410317,1.0,34.616082141498474,0.0,0.0,0.0298003260223622,0.5166927411319275,5.018299159889637,1.545774467624388,1.2457744676243878,False,0.2793735015830519
0.7397260273972602,1.265114497089801,0.07063875848675776,0.5452155356428993,1.0,36.16185660974561,0.0,0.0,0.0272628225947233,0.516643217654569,5.004782523654813,1.56511449835463,1.26511449835463,False,0.2786091423496222
0.7671232876712328,1.2845100016844355,0.0734684461739093,0.5467009021063589,1.0,37.72697110877092,0.0,0.0,0.0279257369524052,0.5165929413752001,4.991296464377701,1.5845100030319603,1.2845100030319605,False,0.2778468743870435
0.7945205479452054,1.3039587133588135,0.07631018254479878,0.5481734312631772,1.0,39.31148111252354,0.0,0.0,0.0310982937194547,0.5165419108211405,4.977840949179608,1.6039587147913623,1.3039587147913625,False,0.2770866919735645
0.821917808219178,1.3234583924553531,0.07916366536277636,0.5496331992133847,1.0,40.915439828087614,0.0,0.0,0.0314685729354469,0.5164901246230695,4.964415944751172,1.6234583939751743,1.3234583939751745,False,0.2763285894030866
0.8493150684931506,1.3430068268210595,0.08202859488915959,0.5510802825000736,1.0,42.53889822288962,0.0,0.0,0.0328050583946052,0.516437581513866,4.951021417353216,1.643006828430315,1.343006828430315,False,0.2755725609851187
0.8767123287671232,1.362601832067624,0.08490467393313833,0.5525147580842659,1.0,44.18190505220295,0.0,0.0,0.0289549521488289,0.5163842803274316,4.937657332817734,1.662601833768388,1.362601833768388,False,0.2748186010447378
0.9041095890410958,1.382241251796151,0.08779160789751347,0.5539367033198989,1.0,45.844506886912576,0.0,0.0,0.0292227582362092,0.5163302199975006,4.924323656548997,1.6822412535904063,1.3822412535904065,False,0.2740667039225445
0.9315068493150684,1.401922957788202,0.09068910482045589,0.5553461959289672,1.0,47.52674814150449,0.0,0.0,0.0298173348676548,0.5162753995564346,4.911020353524778,1.7019229596778378,1.4019229596778378,False,0.2733168639746232
0.958904109589041,1.4216448501647894,0.09359687541346536,0.556743313976861,1.0,49.22867110224614,0.0,0.0,0.0281368281545057,0.5162198181340061,4.897747388297697,1.7216448521515992,1.4216448521515992,False,0.272569075572497
0.9863013698630136,1.4414048575149283,0.09651463309570495,0.558128135847935,1.0,50.95031595552585,0.0,0.0,0.0277795290320128,0.5161634749561715,4.8845047249966775,1.7414048596006084,1.4414048596006084,False,0.2718233331030888
1.0136986301369864,1.4612009369952663,0.0994420940248794,0.5595007402213378,1.0,52.69172081632088,0.0,0.0,0.0298542295573556,0.5161063693438348,4.871292327328519,1.761200939181414,1.461200939181414,False,0.2710796309686782
1.0410958904109588,1.4810310744022903,0.10237897712482069,0.5608612060471343,1.0,54.45292175676498,0.0,0.0,0.0283614560943053,0.5160485007116029,4.858110158579574,1.7810310766904032,1.4810310766904031,False,0.2703379635868592
1.0684931506849311,1.500893284218544,0.1053250041099388,0.5622096125227428,1.0,56.23395283478829,0.0,0.0,0.031018883968095,0.5159898685665355,4.844958181617541,1.800893286610019,1.5008932866100189,False,0.2695983253904999
1.095890410958904,1.52078560963424,0.10827989950668945,0.5635460390697133,1.0,58.034846122803366,0.0,0.0,0.0296229115132339,0.5159304725068872,4.831836358893345,1.820785612130373,1.5207856121303729,False,0.2688607108277
1.1232876712328768,1.5407061225456071,0.11124339067220555,0.5648705653108663,1.0,59.85563173641284,0.0,0.0,0.031996069176347,0.5158703122208472,4.818744652443141,1.8407061251475925,1.5407061251475924,False,0.2681251143617494
1.1506849315068493,1.5606529235312538,0.1142152078102335,0.566183271047811,1.0,61.69633786311544,0.0,0.0,0.0312015906120134,0.5158093874852748,4.805683023890393,1.8606529262401856,1.5606529262401856,False,0.2673915304710882
1.1780821917808215,1.580624141807793,0.11719508398451031,0.5674842362388599,1.0,63.55699079098838,0.0,0.0,0.0288741998482922,0.5157476981644314,4.792651434448062,1.8806241446246637,1.5806241446246634,False,0.2666599536492626
1.2054794520547945,1.6006179351659142,0.1201827551297121,0.5687735409773534,1.0,65.43761493732536,0.0,0.0,0.0319935588083712,0.5156852442087123,4.779649844920878,1.9006179380916168,1.6006179380916166,False,0.2659303784048881
1.2328767123287672,1.6206324898880506,0.12317796006009986,0.5700512654704074,1.0,67.33823287721063,0.0,0.0,0.0318285861449808,0.5156220256533779,4.766678215707708,1.9206324929233785,1.6206324929233784,False,0.265202799261604
1.2602739726027397,1.6406660206487398,0.1261804404759828,0.5713174900180938,1.0,69.25886537201072,0.0,0.0,0.029324870274181,0.5155580426172829,4.753736506803998,1.940666023794389,1.6406660237943886,False,0.2644772107580354
1.287671232876712,1.6607167703987304,0.1291899409681157,0.5725722949930645,1.0,71.19953139776658,0.0,0.0,0.0287299686235814,0.5154932953016103,4.740824677804303,1.9607167736552995,1.6607167736552992,False,0.2637536074477514
