t,I,Pop,W,H,C,D,L,r,S,lambda,Pi,I_cap,binding,disc_flow
0.0,0.33,0.0,0.5,1.0,1.0,0.0,0.16,0.0316437362913357,0.5177225522955372,5.380585627746375,1.178555,0.878555,False,0.848555
0.0273972602739726,0.9664105,0.0012951953278586453,0.5017661963126996,1.0,1.407133,0.048,0.0794335748903488,0.5296332706385123,0.5177093457003288,5.366264482153704,0.9969857447690472,0.6969857447690473,False,0.0304915916208389
0.0547945205479452,0.766684319245952,0.004033761811649199,0.5036357383733758,1.0,1.4957579468614282,0.0241717062999612,0.0633781500754031,0.5321515875194683,0.5176706763660863,5.351974478567306,1.092066117199743,0.792066117199743,False,0.3236037597785745
0.0821917808219178,0.8712727289197173,0.006376390905753903,0.5054598123351153,1.0,1.6000971804630648,0.0198150960544573,0.0439564712189121,0.5311842081743562,0.5176400055333414,5.337715763974472,1.0866586889509706,0.7866586889509706,False,0.2136229197654624
0.1095890410958904,0.8653245578460677,0.008901296488266496,0.5072821176651094,1.0,1.6495669165953075,0.0140607756422142,0.0356097202593458,0.527565064087326,0.5176051579768722,5.323488246659111,1.1148393454853824,0.8148393454853824,False,0.2467953074856279
0.136986301369863,0.8963232800339207,0.01139420750018565,0.5090865432435436,1.0,1.6919294686336066,0.0116662969447561,0.0286652176209237,0.5328537341098205,0.5175705559919661,5.309291922553856,1.1301943508322396,0.8301943508322396,False,0.230689200886236
0.1643835616438356,0.9132137859154636,0.013923125258641044,0.5108781992826819,1.0,1.7226230576980526,0.0096101734925251,0.024073471031106,0.5315668382119421,0.5175347225056572,5.295126759747888,1.1498032777066534,0.8498032777066533,False,0.232732140577512
0.1917808219178082,0.9347836054773188,0.016461272512889615,0.5126552122473178,1.0,1.7499922237864527,0.0082569697677778,0.0201505602869168,0.5317163858316617,0.5174982221903346,5.280992736386411,1.1677061594049876,0.8677061594049875,False,0.2284981078474265
0.2191780821917808,0.9544767753454864,0.019016305589898856,0.5144182199620122,1.0,1.7745876863152468,0.0070677087760526,0.0167906420631112,0.5277686817960533,0.5174608685524421,5.266889827079972,1.1862122521004093,0.8862122521004092,False,0.22671160031485
0.2465753424657534,0.9748334773104502,0.0215841471534965,0.516167019971385,1.0,1.7981377308208626,0.0060201318603147,0.0136457799902848,0.5297023156273734,0.5174227371675225,5.252818007441409,1.2044797148729889,0.9044797148729886,False,0.2240529690863429
0.273972602739726,0.9949276863602876,0.02416522991217563,0.5179017311148303,1.0,1.8210041778516848,0.0049993584393005,0.0106438596344201,0.5292247881453955,0.5173838021074253,5.238777252358831,1.2229066122370449,0.9229066122370446,False,0.2218177134616835
0.3013698630136986,1.015197273460749,0.02675840382990789,0.5196223631034496,1.0,1.843621136463157,0.0039831821507019,0.0076974216506731,0.5325605899330916,0.5173440744538583,5.224767536583782,1.2410278358479645,0.9410278358479642,False,0.2191262412580248
0.3287671232876712,1.0351306194327607,0.02936328260790321,0.5213289794782577,1.0,1.8659293719715195,0.0029412482757816,0.0048181036495945,0.5308631907204839,0.517303547812241,5.210788834445811,1.2592573629233383,0.9592573629233384,False,0.2168780032980333
0.3561643835616438,1.055183099215672,0.03197866159381845,0.5230215902374675,1.0,1.8881514477052896,0.001879156256481,0.0019607251407094,0.531936569679625,0.5172622362229147,5.19684112014026,1.2775061857650718,0.9775061857650718,False,0.2145440825582727
0.3835616438356164,1.075256804341579,0.03460410850957283,0.524700258486363,1.0,1.910344540779628,0.0007802805173055,0.0,0.5296604851929639,0.5172201355571966,5.182924367448216,1.2958243527075932,0.9958243527075932,False,0.2122676175224645
