t,I,Pop,W,H,C,D,L,r,S,lambda,Pi,I_cap,binding,disc_flow
0,6,0,0.5,1,1,0,0.16,0.031643736,0.5177225522955372,5.382623556037008,-1.85,0,FALSE,-7.85
0.02739726,6,0.006554844,0.5020665362035225,1,-0.85,0.048,0.5338034931095799,0.5296332706385123,0.5174826060366043,5.368311988461542,-1.816163369,0,FALSE,-7.79477853
0.054794521,6,0.013070734,0.5041117195476427,1,-2.678163369,0.1702926374724336,0.9032163303778054,0.5321515875194683,0.5172430266261326,5.354030657746313,-1.822430474,0,FALSE,-7.779685058
0.082191781,6,0.019547886026366524,0.5061357706646455,1,-4.543167002,0.3052133117500263,1.2799740296242987,0.5311842081743562,0.5170038130290175,5.3397795781612025,-1.83532718,0,FALSE,-7.771191164
0.1095890410958904,6,0.025986518626419083,0.508138908,1,-6.45479751,0.4565707638897183,1.6660340508684175,0.527565064,0.5167649642143872,5.325558762565759,-1.855791567,0,FALSE,-7.770170713
0.136986301,6,0.032386847,0.5101213473713798,1,-8.424731768,0.625383775,2.063731906110248,0.5328537341098205,0.5165264791555799,5.311368222430354,-1.89020001,0,FALSE,-7.782852017
0.1643835616438356,6,0.038749086,0.5120833029210454,1,-10.47127772,0.8129612930117192,2.476729320532037,0.5315668382119421,0.5162883568301222,5.297207967857049,-1.931468065,0,FALSE,-7.802153539
0.1917808219178082,6,0.045073448,0.5140249862098456,1,-12.60598611,1.021326100226396,2.907336577405896,0.5317163858316617,0.516050596,5.283078007600179,-1.985063887,0,FALSE,-7.833384781
0.2191780821917808,6,0.051360146,0.5159466067045854,1,-14.84638152,1.2521804959865137,3,0.5277686817960533,0.5158131963101666,5.268978349,-2.045872037,0,FALSE,-7.871442694
0.2465753424657534,6,0.05760939,0.517848372,1,-17.20529868,1.3467363712048288,3,0.5297023156273734,0.5155761560914616,5.254908998436019,-2.041699811,0,FALSE,-7.845836006
0.273972603,6,0.063821391,0.5197304863796989,1,-19.58368259,1.4010467632096006,3,0.5292247881453955,0.5153394745576478,5.240869960480152,-2.013435556,0,FALSE,-7.796869579
