t,I,Pop,W,H,C,D,L,r,S,lambda,Pi,I_cap,binding,disc_flow
0.0,0.02,1.0,0.5,1.0,1.0,0.0,0.26,0.03164373629133578,0.5177225522955372,5.375267484292224,2.84598,2.54598,False,2.82598
0.0273972602739726,0.020103264834868236,0.9950768615812758,0.5016535052377116,1.0,4.05398,0.20800000000000002,0.0,0.029633270638512312,0.5177217518641501,5.360917656822422,2.8330742237867717,2.533074223786772,False,2.805274736785491
0.0547945205479452,0.02020640728040696,0.9901835149019824,0.5032933886156169,1.0,6.679054223786771,0.0,0.0,0.03215158751946829,0.5177209473040616,5.346600070060638,2.83253083357321,2.53253083357321,False,2.796956571598753
0.0821917808219178,0.020309305092342304,0.98531979281026,0.5049197618834168,1.0,9.51158505735998,0.0,0.0,0.03118420817435618,0.5177201386202335,5.332314695530426,2.825858572777918,2.5258585727779184,False,2.7825844638243025
0.1095890410958904,0.020411836316339794,0.9804855257398206,0.5065327358220459,1.0,12.337443630137898,0.0,0.0,0.027565064087325897,0.5177193258225199,5.318061504087411,2.8192210602617775,2.5192210602617777,False,2.7683047948873982
0.136986301369863,0.020513879432544433,0.9756805417337334,0.5081324202535915,1.0,15.156664690399676,0.0,0.0,0.03285373410982054,0.5177185089256561,5.303840465929014,2.8126181888915176,2.512618188891518,False,2.754117085714974
0.1643835616438356,0.020615313499605856,0.9709046664719896,0.5097189240511504,1.0,17.969282879291193,0.0,0.0,0.031566838211942116,0.5177176879492404,5.2896515506040505,2.806049845866173,2.506049845866173,False,2.7400208532014476
0.1917808219178082,0.02071601829801785,0.9661577233027984,0.5112923551486226,1.0,20.775332725157366,0.0,0.0,0.031716385831661725,0.5177168629177111,5.275494727022206,2.7995159127567026,2.499515912756703,False,2.726015610182662
0.2191780821917808,0.020815874472602316,0.9614395332775639,0.5128528205504397,1.0,23.57484863791407,0.0,0.0,0.027768681796053272,0.517716033860318,5.261369963463384,2.793016265551562,2.493016265551562,False,2.712100865417503
0.2465753424657534,0.020914763673968866,0.9567499151894875,0.5144004263412244,1.0,26.36786490346563,0.0,0.0,0.029702315627373403,0.5177152008110862,5.247277227586931,2.7865507747081537,2.486550774708154,False,2.6982761235771306
