policy,V_value,frequency,probability
Baseline-Random3,-0.4821804686376332,0,0.0
Baseline-Random3,-0.45653091880763397,0,0.0
Baseline-Random3,-0.43088136897763485,0,0.0
Baseline-Random3,-0.40523181914763573,1,0.001
Baseline-Random3,-0.3795822693176365,1,0.001
Baseline-Random3,-0.3539327194876374,1,0.001
Baseline-Random3,-0.32828316965763826,0,0.0
Baseline-Random3,-0.30263361982763903,1,0.001
Baseline-Random3,-0.2769840699976399,6,0.006
Baseline-Random3,-0.2513345201676407,1,0.001
Baseline-Random3,-0.22568497033764157,5,0.005
Baseline-Random3,-0.20003542050764242,9,0.009
Baseline-Random3,-0.17438587067764325,5,0.005
Baseline-Random3,-0.1487363208476441,8,0.008
Baseline-Random3,-0.12308677101764495,13,0.013
Baseline-Random3,-0.09743722118764578,15,0.015
Baseline-Random3,-0.0717876713576466,20,0.02
Baseline-Random3,-0.04613812152764743,25,0.025
Baseline-Random3,-0.020488571697648283,18,0.018
Baseline-Random3,0.005160978132350891,23,0.023
Baseline-Random3,0.030810527962350065,29,0.029
Baseline-Random3,0.056460077792349184,26,0.026
Baseline-Random3,0.08210962762234836,32,0.032
Baseline-Random3,0.10775917745234753,39,0.039
Baseline-Random3,0.13340872728234665,31,0.031
Baseline-Random3,0.15905827711234582,37,0.037
Baseline-Random3,0.184707826942345,32,0.032
Baseline-Random3,0.21035737677234412,45,0.045
Baseline-Random3,0.2360069266023433,52,0.052
Baseline-Random3,0.26165647643234247,49,0.049
Baseline-Random3,0.28730602626234164,47,0.047
Baseline-Random3,0.3129555760923408,66,0.066
Baseline-Random3,0.33860512592233993,49,0.049
Baseline-Random3,0.3642546757523391,53,0.053
Baseline-Random3,0.3899042255823383,71,0.071
Baseline-Random3,0.41555377541233746,55,0.055
Baseline-Random3,0.44120332524233663,43,0.043
Baseline-Random3,0.46685287507233575,38,0.038
Baseline-Random3,0.49250242490233487,22,0.022
Baseline-Random3,0.5181519747323341,16,0.016
Baseline-Random3,0.5438015245623333,9,0.009
Baseline-Random3,0.5694510743923324,4,0.004
Baseline-Random3,0.5951006242223316,2,0.002
Baseline-Random3,0.6207501740523307,0,0.0
Baseline-Random3,0.6463997238823298,0,0.0
Baseline-Random3,0.672049273712329,1,0.001
Baseline-Random3,0.6976988235423283,0,0.0
Baseline-Random3,0.7233483733723274,0,0.0
Baseline-Random3,0.7489979232023265,0,0.0
