t,I,Pop,W,H,C,D,L,r,S,lambda,Pi,I_cap,binding,disc_flow
0.0,0.33,1.0,0.5,1.0,1.0,0.0,0.26,0.03164373629133578,0.5177225522955372,5.3815660697787875,2.778555,2.478555,False,2.448555
0.0273972602739726,2.7264105,1.0013674718388275,0.5017661963126996,1.0,2.367133,0.20800000000000002,0.0,0.5296332706385123,0.5177093457003288,5.367250326070593,1.7917850343874344,1.4917850343874344,False,-0.9320683523928752
0.0547945205479452,1.640963537826178,1.0181289635217514,0.5037531402793531,1.0,2.4326375206324604,0.0,0.0,0.03215158751946829,0.5176002773470565,5.3529651108233125,2.4059971029934832,2.1059971029934834,False,0.7608530643134049
0.0821917808219178,2.316596813292832,1.030111093902882,0.5056667973293222,1.0,2.85991702211232,0.0,0.0,0.03118420817435618,0.5175346681952796,5.338710723181091,2.1441962963760908,1.8441962963760907,False,-0.17098933369419828
0.1095890410958904,2.0286159260136998,1.045090688048519,0.5075987555399164,1.0,2.9164762888818143,0.0,0.0,0.027565064087325897,0.517442092549196,5.3244869621874455,2.295473123891858,1.995473123891858,False,0.2639487015106115
0.136986301369863,2.1950204362810437,1.058735926482201,0.5094979058191682,1.0,3.0355220187760215,0.0,0.0,0.03285373410982054,0.5173610700638116,5.310293905022331,2.246927358338125,1.9469273583381248,False,0.05120071639873067
0.1643835616438356,2.1416200941719374,1.0729844046776176,0.5113863878706902,1.0,3.0659174243908853,0.0,0.0,0.031566838211942116,0.5172734485856887,5.296131508493933,2.294428472635828,1.9944284726358281,False,0.1503169931548254
0.1917808219178082,2.193871319899411,1.0868941144469357,0.513253674828487,1.0,3.1096157957769393,0.0,0.0,0.031716385831661725,0.5171880059626438,5.281999786257374,2.2952332299707865,1.9952332299707864,False,0.09943650483199945
0.2191780821917808,2.194756552967865,1.1009090629010725,0.5151048734028001,1.0,3.131947835870941,0.0,0.0,0.027768681796053272,0.5171005270050636,5.267898724238186,2.3186384977550394,2.0186384977550396,False,0.12119626371459118
0.2465753424657534,2.2205023475305437,1.1148144129255297,0.5169377607744007,1.0,3.157157016588494,0.0,0.0,0.029702315627373403,0.517013061604788,5.253828320183833,2.330906382808693,2.030906382808693,False,0.10771503232856736
0.273972602739726,2.2339970210895626,1.1287124879912631,0.5187536080340193,1.0,3.1771223379794624,0.0,0.0,0.029224788145395485,0.5169246198604153,5.239788564870418,2.348533791968053,2.0485337919680533,False,0.11144137347715151
0.3013698630136986,2.2533871711648588,1.1425529635179308,0.5205520224326481,1.0,3.1976814441705628,0.0,0.0,0.032560589933091605,0.5168356909989031,5.22577945103667,2.363424242857568,2.063424242857568,False,0.10677035767072164
0.3287671232876712,2.269766667143325,1.1563594588913795,0.5223334075372046,1.0,3.216895267799822,0.0,0.0,0.030863190720483984,0.5167460414014581,5.211800969128751,2.3795662244705165,2.0795662244705166,False,0.10624840385070024
0.3561643835616438,2.2875228469175686,1.1701197122281575,0.5240977833152528,1.0,3.2361873685822204,0.0,0.0,0.03193656967962498,0.5166557920123287,5.1978531093532805,2.394986824397956,2.094986824397956,False,0.10370385196802157
0.3835616438356164,2.304485506837752,1.1838389933502764,0.5258453538352638,1.0,3.2550857789298835,0.0,0.0,0.029660485192963985,0.5165648892106931,5.18393586070348,2.41066492974593,2.1106649297459303,False,0.10218390374103649
