0,-0.579268293,1,0.960490759,0.954132902,0.960490759,0.890243902,0.548780488,0.948332648,-0.364743326,-0.478658537,-0.626914246,-0.705170431,-0.887542094,-0.856586153,-0.856586153,0.960490759
-0.579268293,0,-0.579268293,-0.620063655,-0.617739892,-0.620063655,-0.600609756,-0.25,-0.589668377,0.097264887,0.411585366,0.37309043,0.419454825,0.571431211,0.563543522,0.563543522,-0.620063655
1,-0.579268293,0,0.960490759,0.954132902,0.960490759,0.890243902,0.548780488,0.948332648,-0.364743326,-0.478658537,-0.626914246,-0.705170431,-0.887542094,-0.856586153,-0.856586153,0.960490759
0.960490759,-0.620063655,0.960490759,0,0.993920916,1,0.930095482,0.662617043,0.987878788,-0.284848485,-0.425533881,-0.743916269,-0.672727273,-0.927272727,-0.943879807,-0.943879807,1
0.954132902,-0.617739892,0.954132902,0.993920916,0,0.993920916,0.932726074,0.651379193,0.993920916,-0.256102322,-0.394497258,-0.757668712,-0.646353479,-0.939041847,-0.949652826,-0.949652826,0.993920916
0.960490759,-0.620063655,0.960490759,1,0.993920916,0,0.930095482,0.662617043,0.987878788,-0.284848485,-0.425533881,-0.743916269,-0.672727273,-0.927272727,-0.943879807,-0.943879807,1
0.890243902,-0.600609756,0.890243902,0.930095482,0.932726074,0.930095482,0,0.445121951,0.960490759,-0.115502053,-0.222560976,-0.755355214,-0.462008213,-0.978727925,-0.879127894,-0.879127894,0.930095482
0.548780488,-0.25,0.548780488,0.662617043,0.651379193,0.662617043,0.445121951,0,0.620063655,-0.449850102,-0.603658537,-0.486240806,-0.765960985,-0.425533881,-0.78896093,-0.78896093,0.662617043
0.948332648,-0.589668377,0.948332648,0.987878788,0.993920916,0.987878788,0.960490759,0.620063655,0,-0.248484848,-0.370822382,-0.780502315,-0.6,-0.963636364,-0.943879807,-0.943879807,0.987878788
-0.364743326,0.097264887,-0.364743326,-0.284848485,-0.256102322,-0.284848485,-0.115502053,-0.449850102,-0.248484848,0,0.77204004,-0.079269766,0.454545455,0.090909091,0.224733287,0.224733287,-0.284848485
-0.478658537,0.411585366,-0.478658537,-0.425533881,-0.394497258,-0.425533881,-0.222560976,-0.603658537,-0.370822382,0.77204004,0,0.183487097,0.686933264,0.21276694,0.405751336,0.405751336,-0.425533881
-0.626914246,0.37309043,-0.626914246,-0.743916269,-0.757668712,-0.743916269,-0.755355214,-0.486240806,-0.780502315,-0.079269766,0.183487097,0,0.250004648,0.835381384,0.746155792,0.746155792,-0.743916269
-0.705170431,0.419454825,-0.705170431,-0.672727273,-0.646353479,-0.672727273,-0.462008213,-0.765960985,-0.6,0.454545455,0.686933264,0.250004648,0,0.393939394,0.71914652,0.71914652,-0.672727273
-0.887542094,0.571431211,-0.887542094,-0.927272727,-0.939041847,-0.927272727,-0.978727925,-0.425533881,-0.963636364,0.090909091,0.21276694,0.835381384,0.393939394,0,0.853986492,0.853986492,-0.927272727
-0.856586153,0.563543522,-0.856586153,-0.943879807,-0.949652826,-0.943879807,-0.879127894,-0.78896093,-0.943879807,0.224733287,0.405751336,0.746155792,0.71914652,0.853986492,0,1,-0.943879807
-0.856586153,0.563543522,-0.856586153,-0.943879807,-0.949652826,-0.943879807,-0.879127894,-0.78896093,-0.943879807,0.224733287,0.405751336,0.746155792,0.71914652,0.853986492,1,0,-0.943879807
0.960490759,-0.620063655,0.960490759,1,0.993920916,1,0.930095482,0.662617043,0.987878788,-0.284848485,-0.425533881,-0.743916269,-0.672727273,-0.927272727,-0.943879807,-0.943879807,0
