SDG (From\To),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,0.0,-0.5792682926829269,1.0,0.9604907590145022,0.9541329019028171,0.9604907590145022,0.8902439024390244,0.5487804878048781,0.9483326481409009,-0.3647433262080388,-0.4786585365853659,-0.6269142464425561,-0.705170430668875,-0.8875420937728944,-0.8565861529340607,-0.8565861529340607,0.9604907590145022
1,-0.5792682926829269,0.0,-0.5792682926829269,-0.6200636545536659,-0.6177398916165674,-0.6200636545536659,-0.600609756097561,-0.25,-0.5896683773696627,0.09726488698881035,0.41158536585365857,0.3730904295902041,0.41945482513924465,0.5714312110592608,0.5635435216671452,0.5635435216671452,-0.6200636545536659
2,1.0,-0.5792682926829269,0.0,0.9604907590145022,0.9541329019028171,0.9604907590145022,0.8902439024390244,0.5487804878048781,0.9483326481409009,-0.3647433262080388,-0.4786585365853659,-0.6269142464425561,-0.705170430668875,-0.8875420937728944,-0.8565861529340607,-0.8565861529340607,0.9604907590145022
3,0.9604907590145022,-0.6200636545536659,0.9604907590145022,0.0,0.9939209163101398,1.0,0.930095481830499,0.6626170426112705,0.9878787878787879,-0.28484848484848485,-0.42553388057604524,-0.7439162686493069,-0.6727272727272727,-0.9272727272727274,-0.9438798074485388,-0.9438798074485388,1.0
4,0.9541329019028171,-0.6177398916165674,0.9541329019028171,0.9939209163101398,0.0,0.9939209163101398,0.9327260739755103,0.6513791926451924,0.9939209163101398,-0.2561023219940237,-0.3944972575175109,-0.7576687116564417,-0.6463534793182504,-0.9390418473114204,-0.9496528264568825,-0.9496528264568825,0.9939209163101398
5,0.9604907590145022,-0.6200636545536659,0.9604907590145022,1.0,0.9939209163101398,0.0,0.930095481830499,0.6626170426112705,0.9878787878787879,-0.28484848484848485,-0.42553388057604524,-0.7439162686493069,-0.6727272727272727,-0.9272727272727274,-0.9438798074485388,-0.9438798074485388,1.0
6,0.8902439024390244,-0.600609756097561,0.8902439024390244,0.930095481830499,0.9327260739755103,0.930095481830499,0.0,0.4451219512195122,0.9604907590145022,-0.11550205329921227,-0.2225609756097561,-0.7553552140063968,-0.4620082131968491,-0.9787279253249042,-0.8791278938007465,-0.8791278938007465,0.930095481830499
7,0.5487804878048781,-0.25,0.5487804878048781,0.6626170426112705,0.6513791926451924,0.6626170426112705,0.4451219512195122,0.0,0.6200636545536659,-0.44985010232324785,-0.603658536585366,-0.48624080577739714,-0.7659609850368815,-0.42553388057604524,-0.7889609303340033,-0.7889609303340033,0.6626170426112705
8,0.9483326481409009,-0.5896683773696627,0.9483326481409009,0.9878787878787879,0.9939209163101398,0.9878787878787879,0.9604907590145022,0.6200636545536659,0.0,-0.24848484848484848,-0.37082238164483944,-0.7805023146484533,-0.6,-0.9636363636363636,-0.9438798074485388,-0.9438798074485388,0.9878787878787879
9,-0.3647433262080388,0.09726488698881035,-0.3647433262080388,-0.28484848484848485,-0.2561023219940237,-0.28484848484848485,-0.11550205329921227,-0.44985010232324785,-0.24848484848484848,0.0,0.772040040473682,-0.07926976633148354,0.45454545454545453,0.09090909090909091,0.22473328748774735,0.22473328748774735,-0.28484848484848485
10,-0.4786585365853659,0.41158536585365857,-0.4786585365853659,-0.42553388057604524,-0.3944972575175109,-0.42553388057604524,-0.2225609756097561,-0.603658536585366,-0.37082238164483944,0.772040040473682,0.0,0.18348709651977252,0.6869332643584731,0.21276694028802262,0.40575133560034454,0.40575133560034454,-0.42553388057604524
11,-0.6269142464425561,0.3730904295902041,-0.6269142464425561,-0.7439162686493069,-0.7576687116564417,-0.7439162686493069,-0.7553552140063968,-0.48624080577739714,-0.7805023146484533,-0.07926976633148354,0.18348709651977252,0.0,0.2500046476608327,0.8353813836471726,0.746155792216122,0.746155792216122,-0.7439162686493069
12,-0.705170430668875,0.41945482513924465,-0.705170430668875,-0.6727272727272727,-0.6463534793182504,-0.6727272727272727,-0.4620082131968491,-0.7659609850368815,-0.6,0.45454545454545453,0.6869332643584731,0.2500046476608327,0.0,0.3939393939393939,0.7191465199607915,0.7191465199607915,-0.6727272727272727
13,-0.8875420937728944,0.5714312110592608,-0.8875420937728944,-0.9272727272727274,-0.9390418473114204,-0.9272727272727274,-0.9787279253249042,-0.42553388057604524,-0.9636363636363636,0.09090909090909091,0.21276694028802262,0.8353813836471726,0.3939393939393939,0.0,0.85398649245344,0.85398649245344,-0.9272727272727274
14,-0.8565861529340607,0.5635435216671452,-0.8565861529340607,-0.9438798074485388,-0.9496528264568825,-0.9438798074485388,-0.8791278938007465,-0.7889609303340033,-0.9438798074485388,0.22473328748774735,0.40575133560034454,0.746155792216122,0.7191465199607915,0.85398649245344,0.0,0.9999999999999999,-0.9438798074485388
15,-0.8565861529340607,0.5635435216671452,-0.8565861529340607,-0.9438798074485388,-0.9496528264568825,-0.9438798074485388,-0.8791278938007465,-0.7889609303340033,-0.9438798074485388,0.22473328748774735,0.40575133560034454,0.746155792216122,0.7191465199607915,0.85398649245344,0.9999999999999999,0.0,-0.9438798074485388
16,0.9604907590145022,-0.6200636545536659,0.9604907590145022,1.0,0.9939209163101398,1.0,0.930095481830499,0.6626170426112705,0.9878787878787879,-0.28484848484848485,-0.42553388057604524,-0.7439162686493069,-0.6727272727272727,-0.9272727272727274,-0.9438798074485388,-0.9438798074485388,0.0
