Season,V_Model(MPC),V_Baseline-Zero,V_Baseline-MaxXL,V_Baseline-Random,V_Baseline-Random2,V_Baseline-Random3
1,1.2483310076667309,0.9571705057522734,-0.236606205,0.7102370805890094,0.6215635149426384,0.6195090184071158
2,0.9322404048411103,0.6700193540265913,-1.223683073,0.15821277172607154,0.17586866938199072,0.12291525187094875
3,1.1186884858093322,0.536015483,-0.984651186,0.2730089755712555,0.2830290839655833,0.2758613125342198
4,1.2244282843392529,0.053601548,-0.999443124,0.3703505416820043,0.3744561944930956,0.35081097581574666
5,1.4187135075617083,0.005360155,-0.466688181,0.6090531558991015,0.600321716,0.6833903377306187
