case,t,lakers_pop
Case A ,0,0.5
Case A ,1,0.512551345
Case A ,2,0.484539528
Case A ,3,0.445253533
Case A ,4,0.40406391
Case B ,0,0.5
Case B ,1,0.516337169
Case B ,2,0.498728538
Case B ,3,0.466422214
Case B ,4,0.428457972
Case C ,0,0.5
Case C ,1,0.52359036
Case C ,2,0.500479183
Case C ,3,0.461561921
Case C ,4,0.418434283
