case,pop_start,pop_end,churn_rate,flow_to_expansion_ratio,gini
Case A - Las Vegas (地理竞争型),0.5,0.3642557879873135,0.271488424,0.023748482,0.13186182429498866
Case B - Seattle (受众重叠型),0.5,0.389415537,0.22116892522605602,0.14870958571253687,0.1459912578598701
Case C - Mexico City(市场互补型),0.5,0.37587564133536894,0.24824871732926213,0.006046402,0.13894157162002313
