policy,season,W,P,C
Model(MPC),0,0.423467391,0.5,1
Model(MPC),1,0.371427174,0.474693478,0.911027456
Model(MPC),2,0.304999022,0.452040217,1.453031886
Model(MPC),3,0.333499315,0.410631978,1.813616542
Model(MPC),4,0.338449521,0.391205446,2.007580481
