policy,season,W,P,C
Model(MPC),0,0.423467391,0.5,1
Model(MPC),1,0.597827174,0.484693478,0.64175777
Model(MPC),2,0.727499022,0.507040217,0.918520542
Model(MPC),3,0.790224932,0.549131978,1.472411435
Model(MPC),4,0.841574521,0.579712446,2.009514858
