policy,season,W,P,C
Model(MPC),0,0.423467391,0.5,1
Model(MPC),1,0.516427174,0.414693478,0.663647098
Model(MPC),2,0.674990217,0.507040217,1.084357603
Model(MPC),3,0.772249315,0.549131978,1.609247197
Model(MPC),4,0.785574521,0.573755446,2.029821165
Baseline-Zero,0,0.423467391,0.5,1
Baseline-Zero,1,0.314382799,0.461853486,0.968139353
Baseline-Zero,2,0.291842012,0.422544262,1.374592026
Baseline-Zero,3,0.172115161,0.456561872,1.751862353
Baseline-Zero,4,0.112172601,0.396088115,2.078402805
