policy,season,W,P,C
Model(MPC),0,0.423467391,0.5,1
Model(MPC),1,0.296427174,0.484693478,0.967277456
Model(MPC),2,0.252499022,0.447040217,1.459146684
Model(MPC),3,0.176749315,0.408131978,1.872859256
Model(MPC),4,0.123724521,0.361855446,1.953853598
