case,pop_start,pop_end,churn_rate,flow_to_expansion_ratio,gini
Case A (地理竞争型),0.5,0.503848023,-0.00762135,0.021748481616981836,0.1508235219708256
Case B (受众重叠型),0.5,0.513848023,-0.02765425,0.11870958571253687,0.1249152349784026
Case C (市场互补型),0.5,0.451384802,0.096574,0.004060632,0.17853426449973928
